REACTION ID,Classification,Component,,Common_name,Available,Reactant,Dependant_index,C,H,N,S,O,Product,k_constant,E[kj/mol],n,K_old,E_old,n_old,,,
R-38,DIESEL,Styrene,styrene,styrene,Yes,H2,1,8,4,0,0,0,1,0.4049,33.89,0,4.049,33.89,0,,,
R-39,DIESEL,Dimethylbenzene,m-xylene,m-xylene,Yes,H2,1,8,5,0,0,0,1,0.1084,33.89,0,1.084,33.89,0,,,
R-40,DIESEL,Cumene,cumene,cumene,Yes,H2,1,9,6,0,0,0,1,0.107,33.89,0,1.07,33.89,0,,,
R-41,DIESEL,Ethylmethylbenzene,4-ethyltoluene,4-ethyltoluene,Yes,H2,1,9,6,0,0,0,1,0.05,33.89,0,0.5,33.89,0,,,
R-42,DIESEL,Propylbenzene,propylbenzene,propylbenzene,Yes,H2,1,9,6,0,0,0,1,0.1117,33.89,0,1.117,33.89,0,,,
R-43,DIESEL,Ethylmethylbenzene,2-ethyltoluene,2-ethyltoluene,Yes,H2,1,9,6,0,0,0,1,0.1189,33.89,0,1.189,33.89,0,,,
R-44,DIESEL,Ethylmethylbenzene,3-ethyltoluene,3-ethyltoluene,Yes,H2,1,9,6,0,0,0,1,0.2128,33.89,0,2.128,33.89,0,,,
R-45,DIESEL/NAPTHA,Trimethylbenzene,"1,2,3-trimethylbenzene","1,2,3-trimethylbenzene",Yes,H2,1,9,6,0,0,0,1,0.0424,33.89,0,0.424,33.89,0,,,
R-46,DIESEL,Phenol,phenol,phenol,Yes,H2,1,6,3,0,0,0.5,1,0.0497,33.89,0,0.497,33.89,0,,,
R-47,DIESEL,Methylethylbenzene,2-ethyltoluene,2-ethyltoluene,Yes,H2,1,9,6,0,0,0,1,0.1532,33.89,0,1.532,33.89,0,,,
R-48,DIESEL,Benzonitrile,benzonitrile,benzonitrile,Yes,H2,1,7,2.5,0.5,0,0,1,0.0528,33.89,0,0.528,33.89,0,,,
R-49,DIESEL,Propenylbenzene,"benzene, propenyl-","benzene, propenyl-",Yes,H2,1,9,5,0,0,0,1,0.0567,33.89,0,0.567,33.89,0,,,
R-50,DIESEL,Propylbenzene,propylbenzene,propylbenzene,Yes,H2,1,9,6,0,0,0,1,0.1808,33.89,0,1.808,33.89,0,,,
R-51,DIESEL,Methylethylbenzene,3-ethyltoluene,3-ethyltoluene,Yes,H2,1,9,6,0,0,0,1,0.0634,33.89,0,0.634,33.89,0,,,
R-52,DIESEL,Methylethylbenzene,4-ethyltoluene,4-ethyltoluene,Yes,H2,1,9,6,0,0,0,1,0.0344,33.89,0,0.344,33.89,0,,,
R-53,DIESEL,Isopropyltoluene,p-cymene,p-Cymene,Yes,H2,1,10,7,0,0,0,1,0.385,33.89,0,3.85,33.89,0,,,
R-54,DIESEL,Propylbenzene,propylbenzene,propylbenzene,Yes,H2,1,9,6,0,0,0,1,0.0392,33.89,0,0.392,33.89,0,,,
R-55,DIESEL,Dihydro-1H-indene,indan,indan,Yes,H2,1,9,5,0,0,0,1,0.0922,33.89,0,0.922,33.89,0,,,
R-56,DIESEL,1H-indene,indene,indene,Yes,H2,1,9,4,0,0,0,1,0.1278,33.89,0,1.278,33.89,0,,,
R-57,DIESEL,Butylbenzene,butylbenzene,butylbenzene,Yes,H2,1,10,7,0,0,0,1,0.1058,33.89,0,1.058,33.89,0,,,
R-58,DIESEL,Ethyldimethylbenzene,"1-ethyl-2,3-dimethylbenzene","1-ethyl-2,3-dimethylbenzene",Yes,H2,1,10,7,0,0,0,1,0.0338,33.89,0,0.338,33.89,0,,,
R-59,DIESEL,Isopropylmethylbenzene,m-cymene,m-cymene,Yes,H2,1,10,7,0,0,0,1,0.0769,33.89,0,0.769,33.89,0,,,
R-60,DIESEL,Ethyldimethylbenzene,"1-ethyl-2,4-dimethylbenzene","1-ethyl-2,4-dimethylbenzene",Yes,H2,1,10,7,0,0,0,1,0.0397,33.89,0,0.397,33.89,0,,,
R-61,DIESEL,Isopropylmethylbenzene,o-cymene,o-cymene,Yes,H2,1,10,7,0,0,0,1,0.0678,33.89,0,0.678,33.89,0,,,
