Alias,CAS NUM,Available DataBase,Component ID,ComponentID,OtherID,common_names,Ignition,Flash
C10H9N,91-63-4,True,C10H9N,2-methylquinoline,,quinaldine,0,0
C14H28-2,1120-36-1,True,C14H28,tetradec-1-ene,,1-tetradecene,235,110
C15H32,629-62-9,True,C15H32,pentadecane,,pentadecane,0,0
C13H14-N4,879-12-9,True,C13H14,"1,2,3-trimethylnaphthalene","1,2,3-trimethylnaphthalene","1,2,3-trimethylnaphthalene",0,0
Faltaba,,True,,butylbenzene,,,410,71
C13H14-N2,641-91-8,True,C13H14-2,"1,2,5-trimethylnaphthalene",,"1,2,5-trimethylnaphthalene",0,0
C13H10,86-73-7,True,C13H10,9H-fluorene,,fluorene,0,0
C14H14-N15,10/7/4433,True,C14H14-1,"2,4-dimethyl-1-phenylbenzene",,"1,1'-biphenyl, 2,4-dimethyl-",0,0
C15H30-2,13360-61-7,True,C15H30,pentadec-1-ene,,1-pentadecene,0,0
C16H34,544-76-3,True,C16H34,hexadecane,,hexadecane,202,135
C14H10-2,85-01-8,False,C14H10,phenanthrene,,NaN,0,0
C14H10-1,120-12-7,True,C14H10-1,anthracene,,anthracene,540,121
C15H12-D1,832-64-4,True,C15H12,4-methylphenanthrene,,4-methylphenanthrene,0,0
C15H30O2,1002-84-2,True,C15H30O2,pentadecanoic acid,,pentadecanoic acid,0,0
C15H12-N10,832-71-3,True,C15H12-2,3-methylphenanthrene,,3-methylphenanthrene,0,0
C15H12-N6,2531-84-2,True,C15H12-3,2-methylphenanthrene,,2-methylphenanthrene,0,0
,,True,,Nonadecane,,,0,0
,,False,,trimethylphenanthrene,,,0,0
C18H18,483-65-8,True,C18H18,1-methyl-7-propan-2-ylphenanthrene,,retene,0,0
C20H42,112-95-8,True,C20H42,icosane,,eicosane,0,0
C21H44,629-94-7,True,C21H44,henicosane,,heneicosane,0,0
C22H46,629-97-0,True,C22H46,docosane,,docosane,0,0
C24H50,646-31-1,True,C24H50,tetracosane,,tetracosane,0,0
C11H24,1120-21-4,True,C11H24,undecane,,undecane,0,0
0,0,True,NH3,ammonia,,0,0,0
0,0,True,C6H12,cyclohexane,,0,0,0
